x,y
0.00,20.00
1.00,21.30
2.00,22.60
3.00,23.90
4.00,25.20
5.00,26.50
6.00,27.80
7.00,29.10
8.00,30.40
9.00,31.70
10.00,33.00
11.00,34.30
12.00,35.60
13.00,36.90
14.00,38.20
15.00,39.50
16.00,40.80
17.00,42.10
18.00,43.40
19.00,44.70
20.00,46.00
21.00,47.30
22.00,48.60
23.00,49.90
24.00,51.20
25.00,52.50
26.00,53.80
27.00,55.10
28.00,56.40
29.00,57.70
30.00,59.00
31.00,60.30
32.00,61.60
33.00,62.90
34.00,64.20
35.00,65.50
36.00,66.80
37.00,68.10
38.00,69.40
39.00,70.70
40.00,72.00
41.00,73.30
42.00,74.60
43.00,75.90
44.00,77.20
45.00,78.50
46.00,79.80
47.00,81.10
48.00,82.40
49.00,83.70
50.00,85.00
51.00,86.30
52.00,87.60
53.00,88.90
54.00,90.20
55.00,91.50
56.00,92.80
57.00,94.10
58.00,95.40
59.00,96.70
60.00,98.00
61.00,99.30
62.00,100.60
63.00,101.90
64.00,103.20
65.00,104.50
66.00,105.80
67.00,107.10
68.00,108.40
69.00,109.70
70.00,111.00
71.00,112.30
72.00,113.60
73.00,114.90
74.00,116.20
75.00,117.50
76.00,118.80
77.00,120.10
78.00,121.40
79.00,122.70
80.00,124.00
81.00,125.30
82.00,126.60
83.00,127.90
84.00,129.20
85.00,130.50
86.00,131.80
87.00,133.10
88.00,134.40
89.00,135.70
90.00,137.00
91.00,138.30
92.00,139.60
93.00,140.90
94.00,142.20
95.00,143.50
96.00,144.80
97.00,146.10
98.00,147.40
99.00,148.70
