x,y
0.00,10.00
1.00,11.10
2.00,12.20
3.00,13.30
4.00,14.40
5.00,15.50
6.00,16.60
7.00,17.70
8.00,18.80
9.00,19.90
10.00,21.00
11.00,22.10
12.00,23.20
13.00,24.30
14.00,25.40
15.00,26.50
16.00,27.60
17.00,28.70
18.00,29.80
19.00,30.90
20.00,32.00
21.00,33.10
22.00,34.20
23.00,35.30
24.00,36.40
25.00,37.50
26.00,38.60
27.00,39.70
28.00,40.80
29.00,41.90
30.00,43.00
31.00,44.10
32.00,45.20
33.00,46.30
34.00,47.40
35.00,48.50
36.00,49.60
37.00,50.70
38.00,51.80
39.00,52.90
40.00,54.00
41.00,55.10
42.00,56.20
43.00,57.30
44.00,58.40
45.00,59.50
46.00,60.60
47.00,61.70
48.00,62.80
49.00,63.90
50.00,65.00
51.00,66.10
52.00,67.20
53.00,68.30
54.00,69.40
55.00,70.50
56.00,71.60
57.00,72.70
58.00,73.80
59.00,74.90
60.00,76.00
61.00,77.10
62.00,78.20
63.00,79.30
64.00,80.40
65.00,81.50
66.00,82.60
67.00,83.70
68.00,84.80
69.00,85.90
70.00,87.00
71.00,88.10
72.00,89.20
73.00,90.30
74.00,91.40
75.00,92.50
76.00,93.60
77.00,94.70
78.00,95.80
79.00,96.90
80.00,98.00
81.00,99.10
82.00,100.20
83.00,101.30
84.00,102.40
85.00,103.50
86.00,104.60
87.00,105.70
88.00,106.80
89.00,107.90
90.00,109.00
91.00,110.10
92.00,111.20
93.00,112.30
94.00,113.40
95.00,114.50
96.00,115.60
97.00,116.70
98.00,117.80
99.00,118.90
